id,name,nickname,lat,lon
1,"Lory, rainbow",neural-net,14.9974643,-83.2251702
2,"Rat, arboral spiny",budgetary management,18.8121479,-70.0347754
3,Blue shark,24/7,-6.2204747,155.6376301
4,"Hornbill, yellow-billed",Object-based,51.1434519,40.2997102
5,"Bison, american",info-mediaries,12.0962646,-85.3704606
6,Snake (unidentified),explicit,39.7191273,-8.852352
7,"Hyena, brown",Open-source,44.255137,5.262028
8,"Otter, oriental short-clawed",support,49.900535,23.9517484
9,"Crocodile, nile",local area network,12.5641479,-16.2639825
10,"Shelduck, european",Balanced,44.0519136,42.8429639
11,Kongoni,Balanced,49.548202,124.364153
12,House crow,encryption,52.5429093,21.9001014
13,Bushbuck,Vision-oriented,30.2427011,120.1502699
14,American Virginia opossum,non-volatile,37.198731,106.1580937
15,Green-winged trumpeter,help-desk,29.784315,115.910958
16,Blue racer,clear-thinking,45.2865242,-72.9768148
17,White-winged black tern,Progressive,48.892701,2.233089
18,African jacana,stable,55.6842625,37.8548295
19,Gulls (unidentified),Open-source,65.8263119,21.7193111
20,"Admiral, indian red",modular,-25.8511498,-56.6135167
21,Striated heron,maximized,4.5943745,-74.0740729
22,"Cockatoo, slender-billed",parallelism,32.48998,35.40163
23,"Bird, red-billed tropic",algorithm,30.548268,112.279606
24,Steller sea lion,software,-6.1574525,106.7994022
25,European beaver,Sharable,30.63963,114.385538
26,"Heron, grey",demand-driven,35.104673,118.356414
27,Roseat flamingo,moderator,48.6140715,2.4739044
28,Tyrant flycatcher,Phased,55.0319476,36.7358019
29,"Monkey, vervet",adapter,41.9310884,19.2147632
30,Kelp gull,encoding,48.87561,2.302597
31,"Cat, tiger",local,0.9681789,-79.6517202
32,"Flicker, field",client-server,51.6631882,19.489958
33,"Tern, white-winged",Synchronised,22.521523,114.055023
34,"Eagle, pallas's fish",De-engineered,40.5895257,46.3271378
35,European stork,Reactive,39.2298803,-8.6901131
36,"Bee-eater, white-fronted",Open-architected,-34.5802207,-58.5351929
37,Southern right whale,full-range,-16.4708895,46.7164256
38,"Macaw, blue and yellow",coherent,40.862786,-8.4731932
39,"Pelican, eastern white",forecast,40.020575,116.291322
40,Rose-ringed parakeet,instruction set,38.7136413,-9.3736528
41,Yellow-headed caracara,systematic,60.3767999,93.0249306
42,Cape cobra,forecast,47.335609,142.5504149
43,Southern black-backed gull,Polarised,59.3283422,14.4819447
44,"Lemur, sportive",neutral,32.3118725,64.811084
45,"Shelduck, common",superstructure,5.0549877,-75.6789905
46,Pale white-eye,contingency,59.3528754,24.0551606
47,"Magpie, black-backed",didactic,-7.9868869,113.7513827
48,Mexican wolf,encoding,-7.0777168,114.3489996
49,North American red fox,Quality-focused,-25.790615,28.3323137
50,"Bustard, kori",coherent,-14.0393995,-75.7051647
51,"Eagle, pallas's fish",system engine,-13.470532,-72.8795
52,South African hedgehog,Automated,-6.97632,109.471802
53,Common waterbuck,hybrid,9.1249562,124.7445365
54,"Dove, little brown",paradigm,-34.4786447,-58.5717849
55,"Zorro, common",workforce,-14.2795685,-170.6923312
56,Asian elephant,neural-net,61.3294177,29.1257738
57,European shelduck,Ergonomic,16.73333,51.48333
58,Malay squirrel (unidentified),Programmable,59.2542117,18.027354
59,Malleefowl,Pre-emptive,43.7543283,-79.4422593
60,Paddy heron (unidentified),uniform,-6.990714,107.400299
61,"Seal, southern elephant",monitoring,59.3586958,17.9687559
62,Yellow-necked spurfowl,executive,39.467685,75.99379
63,Musk ox,tangible,43.2311668,44.6420273
64,Southern elephant seal,radical,51.1907529,42.2463427
65,"Otter, brazilian",strategy,-4.9068418,35.7898106
66,Blackish oystercatcher,Implemented,57.7184535,12.0083611
67,"Crane, sarus",mobile,6.1307505,-75.6033497
68,Kori bustard,responsive,59.903525,32.3469693
69,"Mongoose, banded",ability,16.356791,102.8259445
70,"Alligator, american",process improvement,-12.1943138,44.3514414
71,Secretary bird,static,12.3290115,122.0752224
72,Smith's bush squirrel,matrix,19.5959923,-99.2820233
73,American bighorn sheep,Universal,32.765421,-96.7413706
74,"Mockingbird, galapagos",portal,38.521085,102.194089
75,Blackbuck,Face to face,16.7275474,103.7358277
76,"Mynah, common",flexibility,22.954248,113.235046
77,Mudskipper (unidentified),Upgradable,-9.5502,119.1705
78,Mouflon,uniform,-4.203165,-69.935907
79,"Whale, southern right",extranet,14.5752935,100.4508956
80,"Tortoise, galapagos",actuating,38.058088,117.230602
81,"Zorro, azara's",Focused,50.0534923,5.9177071
82,Field flicker,analyzing,43.3708997,131.9898172
83,"Dolphin, bottle-nose",groupware,35.6648088,-101.8036596
84,"Eagle, african fish",Fully-configurable,23.632671,113.529424
85,Barrows goldeneye,Right-sized,35.9014983,-81.1381216
86,Northern fur seal,zero defect,40.834681,113.774004
87,Python (unidentified),stable,28.188415,112.290474
88,"Starling, superb",logistical,-6.9078713,-36.9111057
89,Snow goose,Programmable,22.62097,100.721884
90,"Fox, north american red",internet solution,43.4146453,22.1271404
91,Paradoxure,solution,45.295075,130.969333
92,Long-necked turtle,Progressive,-12.09985,-77.0197479
93,Small-clawed otter,customer loyalty,6.426373,101.277052
94,"Raccoon, common",discrete,-6.3398714,108.2970692
95,Ring-tailed possum,analyzer,50.0843138,12.4747444
96,Sable antelope,adapter,-8.845,121.6718
97,"Cat, jungle",concept,-10.1709258,123.6059899
98,"Wallaby, bennett's",website,-22.1468812,-51.1376317
99,"Gazelle, grant's",Diverse,29.049672,93.953264
100,Eurasian red squirrel,Secured,42.8212455,73.8536683
101,Blue duck,knowledge base,6.5060695,18.2763069
102,"Colobus, white-mantled",Public-key,30.327543,120.158598
103,"Gorilla, western lowland",service-desk,27.33186,118.995179
104,"Moorhen, purple",budgetary management,-8.3765619,115.1918802
105,Seven-banded armadillo,Right-sized,-7.3505808,108.2171633
106,Oribi,empowering,56.5614229,52.9958953
